ID	BEST_STATISTICS	BEST_SPLIT	P-VALUE	FDR	DIRECTION	HAZARD_RATIO	MORTALITY_RATIO_1YR	MORTALITY_RATIO_2YR	MORTALITY_RATIO_5YR
ENST00000264170	28.559034	355	1.700000e-05	3.682588e-02	low expression survived longer	2.846474e-01	1.363636e+00	1.239352e+00	1.082181e+00
ENST00000522919	28.012194	367	1.800000e-05	3.682588e-02	low expression survived longer	2.457376e-01	2.224242e+00	1.330246e+00	1.108124e+00
ENST00000343257	28.295117	364	1.800000e-05	3.682588e-02	low expression survived longer	2.476189e-01	1.583264e+00	1.192624e+00	1.131379e+00
ENST00000367879	27.898923	334	2.000000e-05	3.974857e-02	low expression survived longer	3.245847e-01	1.491071e+00	1.136054e+00	1.073805e+00
ENST00000441097	27.762467	365	2.200000e-05	4.250889e-02	low expression survived longer	2.650461e-01	1.325131e+00	1.111788e+00	1.089552e+00
ENST00000557457	27.599739	342	2.400000e-05	4.512000e-02	low expression survived longer	2.966968e-01	1.838710e+00	1.210056e+00	1.096644e+00
ENST00000209875	27.451375	363	2.700000e-05	4.742727e-02	low expression survived longer	2.674615e-01	1.556032e+00	1.172111e+00	1.091879e+00
ENST00000400087	27.306460	350	2.800000e-05	4.742727e-02	low expression survived longer	2.955291e-01	1.681449e+00	1.327913e+00	1.070549e+00
ENST00000461241	27.232032	65	2.900000e-05	4.742727e-02	high expression survived longer	3.490266e+00	6.804819e-01	9.839540e-01	9.564033e-01
ENST00000286398	27.071440	260	3.000000e-05	4.742727e-02	low expression survived longer	3.917781e-01	1.447303e+00	1.275436e+00	1.126850e+00
ENST00000366993	27.084614	311	3.000000e-05	4.742727e-02	low expression survived longer	3.451831e-01	1.891315e+00	1.343162e+00	1.098805e+00
ENST00000444512	27.105654	361	3.000000e-05	4.742727e-02	low expression survived longer	2.703192e-01	1.597988e+00	1.165200e+00	1.094134e+00
ENST00000220507	27.160651	350	3.000000e-05	4.742727e-02	low expression survived longer	2.858116e-01	1.592647e+00	1.236172e+00	1.105558e+00
ENST00000340811	27.067138	334	3.100000e-05	4.791911e-02	low expression survived longer	3.357205e-01	1.342610e+00	1.110525e+00	1.043315e+00
ENST00000367679	26.835056	346	3.200000e-05	4.838957e-02	low expression survived longer	3.217705e-01	1.341085e+00	1.027214e+00	1.092407e+00
ENST00000376463	26.761108	148	3.400000e-05	5.032000e-02	low expression survived longer	4.216602e-01	1.876056e+00	1.261278e+00	1.119141e+00
ENST00000568606	26.594965	365	3.800000e-05	5.394449e-02	low expression survived longer	2.574231e-01	1.815920e+00	1.283504e+00	1.069187e+00
ENST00000352861	26.587348	356	3.800000e-05	5.394449e-02	low expression survived longer	3.062602e-01	1.301170e+00	1.164857e+00	1.044251e+00
