NEDD4	NEDD4
TTF2	MYBL2
ILK	HSPA6
DNM2	PDGFRA
BLMH	NUDT12
PPP2R5D	PPP2R1A
CFTR	MARCH2
SLBP	UPF1
SCAMP1	TTC19
IPCEF1	TRIM11
NRIP1	BRCA1
HEXIM1	EEF1A2
RGS4	PREPL
MAP3K3	CBY1
SNAP23	CHMP2A
RANBP3	SMARCD3
GOLGA2	ASAP3
MAGOH	PNN
ASIC3	DLG4
IL1RAP	IL1R1
FHL2	IER3
PPP1R8	VPS4B
ARHGAP5	PXN
HNRNPAB	HMGA1
NR1H4	RXRB
APBA2	HERC2
APBA2	HERC2
PRKAB1	HARS2
PRKAB2	PYGB
PRKAG1	TUBB8
RGPD5	TNPO1
DNMT3A	DNMT3B
RNF4	CTNNB1
PPL	PSMB6
SAFB	P4HB
MAPK10	CCT6B
MAPK11	TAB1
TRIP6	GAPDHS
LHX2	CITED2
E2F6	MGA
POLE2	CYP4F12
BTG1	CNOT8
RNF216	UBE2D3
ENAH	RAC1
SLC31A1	CCS
SRSF7	TRA2B
DUSP11	RPL32
NEDD9	KLHL18
SRRM2	RPL6
MCL1	CPT2
DAXX	AC074143.1
DAXX	AC074143.1
DAXX	AC074143.1
DAXX	AC074143.1
DAXX	AC074143.1
MVD	WDR1
FANCA	PRKAA1
ARHGEF7	PAK1
FNBP1	DNM2
BIRC5	MED4
TNFRSF25	TRAF2
RIPK3	AMY1C
MALT1	UBC
AP1S1	AP1G1
AP1S2	CCM2
VAMP4	CZIB
MBD2	HDAC1
MBD3L1	RBBP4
UBOX5	UBE2D3
HIC1	STAT3
PDZK1IP1	UTP14A
DNM1L	CALM3
RAB27A	APP
RGS6	CCDC85B
ZNF174	ZSCAN32
TACC3	CDC27
DIS3	LRP1
PLCB2	SLC9A3R2
RND1	ID3
COPG1	COPG2
VPS37C	RFX6
GNA13	F2R
GRAP2	ANAPC5
ANAPC5	ANAPC4
ITGAE	EED
TOM1	PGM2
STK16	NCCRP1
NCKAP1	CYFIP1
GADD45G	CEP57L1
PACSIN2	RAI14
KCNJ1	SH3RF1
UPF3A	CDK5RAP3
NBL1	SEC62
TARBP2	TCEANC
EEA1	SNX27
URI1	WDR92
CNKSR1	TRIM33
PARP4	SMAD3
FHL5	CTU1
EED	HNF4A
DISC1	EIF3H
SNX9	AP2B1
RAB11FIP4	LRRC15
TRIM10	ZNF324
TRIM10	ZNF324
TRIM10	ZNF324
TRIM10	ZNF324
TRIM10	ZNF324
TRIM10	ZNF324
TRIM10	ZNF324
TRIM10	ZNF324
RHOQ	GOPC
PBLD	ZRANB1
XRN2	MCFD2
ABI3	WAS
PINX1	RPL8
PRDX4	TLN1
PACSIN1	CST1
TXNIP	WWP1
CSPG5	GOPC
ZMYND8	TSPYL2
IPO13	STOM
PLCB1	GNAQ
OSTM1	RGS19
ORC6	PSPC1
AP4E1	LAMA1
CENPK	ASS1
LSM2	MED1
LSM2	MED1
LSM2	MED1
LSM2	MED1
LSM2	MED1
LSM2	MED1
AIRE	S100A7
ECT2	RPGRIP1L
HSPB8	WDR20
THEG	MDFI
PPFIA1	PPFIBP1
SYNCRIP	YPEL5
RARA	RXRB
MECR	PPARA
TRIB3	COP1
PARN	BARD1
PARN	BARD1
EXOSC5	EXOSC6
GFI1	ZBTB17
TGS1	TGS1
MYCBP	TPT1
LOXL1	FBLN5
MT2A	ARF6
PRKG1	ZKSCAN1
RNF11	STX4
