TRDD2-201	TRDD2
CYP2D7-230	CYP2D7
CYP2D7-226	CYP2D7
KIR2DS4-230	KIR2DS4
KIR2DS4-231	KIR2DS4
KIR2DS4-236	KIR2DS4
KIR2DS4-237	KIR2DS4
KIR2DS4-239	KIR2DS4
KIR2DS4-238	KIR2DS4
KIR2DS4-232	KIR2DS4
KIR2DS4-233	KIR2DS4
KIR2DS4-234	KIR2DS4
KIR2DS4-235	KIR2DS4
TRDC-201	TRDC
TRAC-201	TRAC
TRGC2-201	TRGC2
TRGC1-201	TRGC1
AC239618.2-201	TRBC1
TRBC2-202	TRBC2
AC245427.1-201	TRBC1
TRBC2-201	TRBC2
IGHJ5-201	IGHJ5
IGHJ6-201	IGHJ6
IGHJ4-201	IGHJ4
IGHJ2-201	IGHJ2
IGHJ1-201	IGHJ1
IGHJ3-201	IGHJ3
IGKJ1-201	IGKJ1
IGKJ3-201	IGKJ3
IGKJ5-201	IGKJ5
IGKJ4-201	IGKJ4
IGHJ6-202	IGHJ6
IGKJ2-201	IGKJ2
IGHJ3-202	IGHJ3
IGHJ5-202	IGHJ5
IGHJ2-202	IGHJ2
IGHJ1-202	IGHJ1
IGHJ4-202	IGHJ4
IGLJ1-201	IGLJ1
IGLJ2-201	IGLJ2
IGLJ3-201	IGLJ3
IGLJ4-201	IGLJ4
IGLJ5-201	IGLJ5
IGLJ6-201	IGLJ6
IGLJ7-201	IGLJ7
IGHD-203	IGHD
IGHD-201	IGHD
IGHD-202	IGHD
IGHE-201	IGHE
IGHG1-202	IGHG1
IGHG1-203	IGHG1
IGHG1-201	IGHG1
IGHA2-201	IGHA2
IGLC1-201	IGLC1
IGHG3-203	IGHG3
IGHM-202	IGHM
IGHM-201	IGHM
IGHG2-201	IGHG2
IGHG4-201	IGHG4
IGHA1-201	IGHA1
IGHG3-201	IGHG3
IGKC-201	IGKC
IGHG2-203	IGHG2
IGHM-203	IGHM
IGHE-203	IGHE
IGHG1-206	IGHG1
IGHG1-205	IGHG1
IGHG1-204	IGHG1
IGHA2-203	IGHA2
IGHA1-203	IGHA1
IGHG4-203	IGHG4
