TRDD2-201	TRDD2
PPT2-266	PPT2
PPT2-257	PPT2
PPT2-272	PPT2
PPT2-260	PPT2
PPT2-258	PPT2
PPT2-262	PPT2
PPT2-259	PPT2
PPT2-265	PPT2
PPT2-269	PPT2
PPT2-261	PPT2
PPT2-268	PPT2
PPT2-273	PPT2
AC009163.4-201	AC009163.4
AC009163.4-203	AC009163.4
ABCB7-201	ABCB7
ABCB7-202	ABCB7
ABCB7-203	ABCB7
ABCB7-207	ABCB7
ABCB7-208	ABCB7
ABCB7-206	ABCB7
ABCB7-210	ABCB7
TMEM170A-201	TMEM170A
TMEM170A-205	TMEM170A
TMEM170A-207	TMEM170A
TMEM170A-202	TMEM170A
TMEM170A-204	TMEM170A
TMEM170A-203	TMEM170A
TMEM170A-206	TMEM170A
IFNGR1-201	IFNGR1
IFNGR1-203	IFNGR1
IFNGR1-202	IFNGR1
CCDC196-202	CCDC196
CCDC196-201	CCDC196
CCDC196-207	CCDC196
CCDC196-203	CCDC196
CCDC196-206	CCDC196
CCDC196-204	CCDC196
NHP2-201	NHP2
NHP2-202	NHP2
NHP2-203	NHP2
NHP2-206	NHP2
NHP2-205	NHP2
RNF186-201	RNF186
VPS41-202	VPS41
VPS41-203	VPS41
VPS41-208	VPS41
VPS41-207	VPS41
VPS41-204	VPS41
VPS41-201	VPS41
VPS41-205	VPS41
VPS41-206	VPS41
VPS41-209	VPS41
TMEM214-202	TMEM214
TMEM214-201	TMEM214
TMEM214-203	TMEM214
TMEM214-206	TMEM214
TMEM214-204	TMEM214
TMEM214-207	TMEM214
TMEM214-205	TMEM214
ALG8-214	ALG8
ALG8-201	ALG8
ALG8-206	ALG8
ALG8-209	ALG8
ALG8-202	ALG8
ALG8-208	ALG8
ALG8-218	ALG8
ALG8-219	ALG8
ALG8-212	ALG8
ALG8-204	ALG8
ALG8-213	ALG8
ALG8-207	ALG8
ALG8-217	ALG8
ALG8-211	ALG8
ALG8-215	ALG8
ALG8-205	ALG8
ALG8-221	ALG8
IMPACT-201	IMPACT
IMPACT-206	IMPACT
IMPACT-202	IMPACT
IMPACT-205	IMPACT
IMPACT-203	IMPACT
PSORS1C1-222	PSORS1C1
PSORS1C1-227	PSORS1C1
PIANP-204	PIANP
PIANP-201	PIANP
PIANP-202	PIANP
PIANP-206	PIANP
PIANP-205	PIANP
PIANP-203	PIANP
ZC3H7B-201	ZC3H7B
DCAF5-201	DCAF5
DCAF5-205	DCAF5
DCAF5-208	DCAF5
DCAF5-209	DCAF5
DCAF5-207	DCAF5
DCAF5-202	DCAF5
DCAF5-206	DCAF5
ORAI1-202	ORAI1
GSDMB-202	GSDMB
GSDMB-203	GSDMB
GSDMB-201	GSDMB
GSDMB-212	GSDMB
GSDMB-214	GSDMB
GSDMB-213	GSDMB
GSDMB-215	GSDMB
GSDMB-207	GSDMB
GSDMB-204	GSDMB
GSDMB-205	GSDMB
RAB41-203	RAB41
RAB41-202	RAB41
RAB41-201	RAB41
RMND1-201	RMND1
RMND1-202	RMND1
RMND1-203	RMND1
RMND1-205	RMND1
GAL3ST3-201	GAL3ST3
GAL3ST3-203	GAL3ST3
CALM2-201	CALM2
CALM2-203	CALM2
CALM2-204	CALM2
CALM2-202	CALM2
CALM2-209	CALM2
HLA-DPA1-225	HLA-DPA1
HLA-DPA1-228	HLA-DPA1
HLA-DPA1-227	HLA-DPA1
HLA-DPA1-229	HLA-DPA1
HLA-DPA1-226	HLA-DPA1
KCTD14-201	KCTD14
KCTD14-202	KCTD14
CHRNA10-201	CHRNA10
CHRNA10-204	CHRNA10
CHRNA10-203	CHRNA10
CDO1-201	CDO1
METTL8-201	METTL8
METTL8-207	METTL8
METTL8-204	METTL8
METTL8-203	METTL8
METTL8-202	METTL8
METTL8-206	METTL8
METTL8-208	METTL8
METTL8-205	METTL8
METTL8-219	METTL8
METTL8-217	METTL8
METTL8-218	METTL8
ARHGAP33-204	ARHGAP33
ARHGAP33-210	ARHGAP33
ARHGAP33-203	ARHGAP33
ARHGAP33-208	ARHGAP33
ARHGAP33-206	ARHGAP33
ARHGAP33-201	ARHGAP33
HSFX3-201	HSFX3
FOXB2-201	FOXB2
TMEM192-201	TMEM192
TMEM192-203	TMEM192
TMEM192-202	TMEM192
RAB19-202	RAB19
RAB19-201	RAB19
RAB19-203	RAB19
AC099850.2-201	AC099850.2
ZNF846-208	ZNF846
ZNF846-205	ZNF846
ZNF846-212	ZNF846
ZNF846-202	ZNF846
ZNF846-201	ZNF846
ZNF846-207	ZNF846
ZNF846-203	ZNF846
ZNF846-211	ZNF846
SLC15A5-201	SLC15A5
CDK2AP2-201	CDK2AP2
CDK2AP2-204	CDK2AP2
CDK2AP2-205	CDK2AP2
DDR2-205	DDR2
DDR2-203	DDR2
DDR2-202	DDR2
DDR2-201	DDR2
DDR2-206	DDR2
DDR2-204	DDR2
TAF7L-203	TAF7L
TAF7L-201	TAF7L
TAF7L-202	TAF7L
TRIM60-204	TRIM60
TRIM60-202	TRIM60
TRIM60-203	TRIM60
TRIM60-201	TRIM60
DKK3-202	DKK3
DKK3-201	DKK3
DKK3-203	DKK3
DKK3-213	DKK3
DKK3-216	DKK3
DKK3-208	DKK3
ACP4-201	ACP4
RPS6KA1-210	RPS6KA1
RPS6KA1-212	RPS6KA1
RPS6KA1-204	RPS6KA1
RPS6KA1-203	RPS6KA1
RPS6KA1-213	RPS6KA1
RPS6KA1-215	RPS6KA1
RPS6KA1-216	RPS6KA1
RPS6KA1-201	RPS6KA1
RPS6KA1-202	RPS6KA1
RPS6KA1-220	RPS6KA1
RPS6KA1-205	RPS6KA1
RPS6KA1-206	RPS6KA1
SNAPC1-201	SNAPC1
SCX-201	SCX
MRPS18B-221	MRPS18B
MRPS18B-220	MRPS18B
ADGRG2-208	ADGRG2
ADGRG2-205	ADGRG2
ADGRG2-204	ADGRG2
ADGRG2-207	ADGRG2
ADGRG2-206	ADGRG2
ADGRG2-203	ADGRG2
ADGRG2-201	ADGRG2
ADGRG2-209	ADGRG2
ADGRG2-210	ADGRG2
ADGRG2-202	ADGRG2
TRIM37-213	TRIM37
TRIM37-211	TRIM37
TRIM37-203	TRIM37
TRIM37-204	TRIM37
TRIM37-201	TRIM37
TRIM37-202	TRIM37
TRIM37-208	TRIM37
TRIM37-207	TRIM37
TRIM37-205	TRIM37
TRIM37-212	TRIM37
TRIM37-214	TRIM37
UNC13C-201	UNC13C
UNC13C-203	UNC13C
UNC13C-202	UNC13C
UNC13C-204	UNC13C
TMEM59L-205	TMEM59L
TMEM59L-202	TMEM59L
TMEM59L-201	TMEM59L
TPM4-211	TPM4
TPM4-202	TPM4
TPM4-204	TPM4
TPM4-205	TPM4
TPM4-210	TPM4
TPM4-201	TPM4
TPM4-208	TPM4
TPM4-209	TPM4
TPM4-215	TPM4
TPM4-207	TPM4
LIMS2-211	LIMS2
LIMS2-204	LIMS2
LIMS2-206	LIMS2
LIMS2-201	LIMS2
LIMS2-205	LIMS2
LIMS2-202	LIMS2
LIMS2-207	LIMS2
LIMS2-208	LIMS2
LIMS2-209	LIMS2
LIMS2-217	LIMS2
LIMS2-210	LIMS2
LIMS2-203	LIMS2
PSMB6-201	PSMB6
PSMB6-202	PSMB6
PSMB6-205	PSMB6
IKZF1-207	IKZF1
IKZF1-206	IKZF1
IKZF1-201	IKZF1
IKZF1-209	IKZF1
IKZF1-210	IKZF1
IKZF1-208	IKZF1
IKZF1-204	IKZF1
IKZF1-202	IKZF1
IKZF1-205	IKZF1
IKZF1-211	IKZF1
IKZF1-203	IKZF1
IKZF1-217	IKZF1
IKZF1-218	IKZF1
TMEM141-201	TMEM141
SYNC-201	SYNC
SYNC-203	SYNC
SYNC-204	SYNC
SYNC-202	SYNC
PVALB-212	PVALB
PVALB-210	PVALB
PVALB-208	PVALB
PVALB-207	PVALB
PVALB-209	PVALB
CLASP1-203	CLASP1
CLASP1-207	CLASP1
CLASP1-204	CLASP1
CLASP1-206	CLASP1
CLASP1-208	CLASP1
CLASP1-215	CLASP1
CLASP1-202	CLASP1
CLASP1-201	CLASP1
MTRNR2L12-201	MTRNR2L12
ZNF311-207	ZNF311
CFAP61-202	CFAP61
CFAP61-205	CFAP61
CFAP61-201	CFAP61
CFAP61-220	CFAP61
CFAP61-204	CFAP61
CFAP61-215	CFAP61
CFAP61-214	CFAP61
CFAP61-209	CFAP61
CFAP61-208	CFAP61
CFAP61-203	CFAP61
CFAP61-206	CFAP61
CFAP61-210	CFAP61
CFAP61-207	CFAP61
RAD51C-205	RAD51C
RAD51C-215	RAD51C
RAD51C-201	RAD51C
RAD51C-207	RAD51C
RAD51C-210	RAD51C
RAD51C-211	RAD51C
RAD51C-209	RAD51C
RAD51C-203	RAD51C
RAD51C-216	RAD51C
RAD51C-204	RAD51C
RAD51C-218	RAD51C
RAD51C-202	RAD51C
RAD51C-217	RAD51C
OCLN-207	OCLN
OCLN-208	OCLN
OCLN-206	OCLN
OCLN-209	OCLN
SH2D1B-201	SH2D1B
TUBA3C-201	TUBA3C
TUBA3C-202	TUBA3C
OR4A47-201	OR4A47
RBMY1E-201	RBMY1E
RBMY1E-203	RBMY1E
RBMY1E-202	RBMY1E
AKAP6-201	AKAP6
AKAP6-213	AKAP6
AKAP6-211	AKAP6
AKAP6-212	AKAP6
AKAP6-202	AKAP6
AKAP6-203	AKAP6
AKAP6-210	AKAP6
AKAP6-205	AKAP6
ZNF418-205	ZNF418
ZNF418-201	ZNF418
ZNF418-202	ZNF418
ZNF418-210	ZNF418
ZNF418-208	ZNF418
ZNF418-211	ZNF418
ZNF418-203	ZNF418
ZNF418-204	ZNF418
ZNF418-212	ZNF418
TP53AIP1-201	TP53AIP1
TP53AIP1-205	TP53AIP1
TP53AIP1-204	TP53AIP1
TP53AIP1-203	TP53AIP1
TP53AIP1-206	TP53AIP1
OLFML2B-205	OLFML2B
OLFML2B-201	OLFML2B
OLFML2B-204	OLFML2B
OLFML2B-203	OLFML2B
OLFML2B-202	OLFML2B
MINOS1-201	MICOS10
MINOS1-210	MICOS10
LEPR-204	LEPR
LEPR-205	LEPR
LEPR-202	LEPR
LEPR-203	LEPR
LEPR-201	LEPR
LEPR-208	LEPR
ABCF1-239	ABCF1
ABCF1-238	ABCF1
ABCF1-237	ABCF1
ABCF1-236	ABCF1
GLRX-206	GLRX
GLRX-201	GLRX
GLRX-202	GLRX
GLRX-203	GLRX
GLRX-207	GLRX
NDUFA13-202	NDUFA13
NDUFA13-204	NDUFA13
NDUFA13-203	NDUFA13
NDUFA13-201	NDUFA13
NDUFA13-207	NDUFA13
MICALL1-204	MICALL1
MICALL1-201	MICALL1
MICALL1-205	MICALL1
MICALL1-203	MICALL1
SUSD1-201	SUSD1
SUSD1-204	SUSD1
SUSD1-203	SUSD1
SUSD1-206	SUSD1
SUSD1-205	SUSD1
SUSD1-202	SUSD1
UTF1-201	UTF1
ADGRB1-202	ADGRB1
ADGRB1-205	ADGRB1
ADGRB1-201	ADGRB1
ZNF530-202	ZNF530
ZNF530-201	ZNF530
ZNF530-205	ZNF530
ZNF530-203	ZNF530
SLC35A1-201	SLC35A1
SLC35A1-202	SLC35A1
SLC35A1-203	SLC35A1
SLC35A1-205	SLC35A1
BMP2K-202	BMP2K
BMP2K-204	BMP2K
BMP2K-203	BMP2K
BMP2K-201	BMP2K
BMP2K-208	BMP2K
SNTB2-212	SNTB2
SNTB2-210	SNTB2
SNTB2-208	SNTB2
SNTB2-207	SNTB2
SNTB2-211	SNTB2
ZNF671-205	ZNF671
ZNF671-201	ZNF671
ZNF671-206	ZNF671
ZNF671-203	ZNF671
ZNF416-201	ZNF416
SFSWAP-201	SFSWAP
SFSWAP-207	SFSWAP
SFSWAP-210	SFSWAP
SFSWAP-205	SFSWAP
BAG6-276	BAG6
BAG6-269	BAG6
BAG6-268	BAG6
BAG6-270	BAG6
BAG6-275	BAG6
BAG6-263	BAG6
BAG6-265	BAG6
BAG6-277	BAG6
BAG6-283	BAG6
BAG6-281	BAG6
BAG6-274	BAG6
BAG6-266	BAG6
BAG6-279	BAG6
BAG6-284	BAG6
BAG6-271	BAG6
BAG6-272	BAG6
BAG6-282	BAG6
BAG6-278	BAG6
BAG6-280	BAG6
BAG6-273	BAG6
BAG6-264	BAG6
BAG6-267	BAG6
BAG6-295	BAG6
BAG6-294	BAG6
ZNF438-209	ZNF438
ZNF438-201	ZNF438
ZNF438-202	ZNF438
ZNF438-208	ZNF438
ZNF438-203	ZNF438
ZNF438-204	ZNF438
ZNF438-205	ZNF438
ZNF438-207	ZNF438
ZNF438-206	ZNF438
ALDH6A1-202	ALDH6A1
ALDH6A1-201	ALDH6A1
ALDH6A1-206	ALDH6A1
TUBGCP3-208	TUBGCP3
TUBGCP3-209	TUBGCP3
MYCN-201	MYCN
MYCN-202	MYCN
PPP4R3B-203	PPP4R3B
PPP4R3B-205	PPP4R3B
PPP4R3B-206	PPP4R3B
HIST2H3PS2-201	HIST2H3PS2
PHGR1-201	PHGR1
TLX3-201	TLX3
PHKA2-201	PHKA2
HSPA6-201	HSPA6
FAM163A-201	FAM163A
FAM205C-201	FAM205C
FAM205C-203	FAM205C
FAM205C-202	FAM205C
DISP2-201	DISP2
LMAN1-201	LMAN1
FCGR2A-202	FCGR2A
FCGR2A-201	FCGR2A
FCGR2A-214	FCGR2A
FCGR2A-210	FCGR2A
FCGR2A-205	FCGR2A
FCGR2A-203	FCGR2A
SYK-204	SYK
SYK-203	SYK
SYK-202	SYK
SYK-201	SYK
FGF10-201	FGF10
FGF10-202	FGF10
OR10H1-201	AC114267.1
VPS37A-201	VPS37A
VPS37A-204	VPS37A
VPS37A-206	VPS37A
VPS37A-203	VPS37A
VPS37A-202	VPS37A
VPS37A-210	VPS37A
VPS37A-208	VPS37A
VPS37A-211	VPS37A
EMC10-208	EMC10
EMC10-204	EMC10
EMC10-202	EMC10
EMC10-201	EMC10
EMC10-206	EMC10
EMC10-207	EMC10
EMC10-205	EMC10
MAP3K1-201	MAP3K1
CYP39A1-201	CYP39A1
CYP39A1-205	CYP39A1
ACTA1-202	ACTA1
ACTA1-201	ACTA1
NSUN3-201	NSUN3
NSUN3-206	NSUN3
OR10H5-201	OR10H5
PITX1-201	PITX1
PITX1-205	PITX1
PITX1-206	PITX1
PITX1-202	PITX1
SIGLEC15-201	SIGLEC15
SIGLEC15-202	SIGLEC15
SIGLEC15-203	SIGLEC15
CYP4F2-202	CYP4F2
CYP4F2-206	CYP4F2
CYP4F2-205	CYP4F2
CYP4F2-204	CYP4F2
CYP4F2-201	CYP4F2
RNPEP-201	RNPEP
RNPEP-202	RNPEP
RNPEP-211	RNPEP
RNPEP-212	RNPEP
RNPEP-203	RNPEP
RNPEP-204	RNPEP
ELF3-201	ELF3
ELF3-203	ELF3
ELF3-202	ELF3
ELF3-204	ELF3
MAVS-202	MAVS
MAVS-201	MAVS
FAM129A-202	FAM129A
FAM129A-201	FAM129A
PHF24-201	PHF24
RPS18-230	RPS18
RPS18-233	RPS18
LUC7L3-208	LUC7L3
LUC7L3-212	LUC7L3
LUC7L3-209	LUC7L3
LUC7L3-215	LUC7L3
LUC7L3-206	LUC7L3
LUC7L3-202	LUC7L3
LUC7L3-201	LUC7L3
LUC7L3-207	LUC7L3
LUC7L3-214	LUC7L3
LUC7L3-217	LUC7L3
LUC7L3-210	LUC7L3
LUC7L3-221	LUC7L3
LUC7L3-205	LUC7L3
LUC7L3-216	LUC7L3
LUC7L3-219	LUC7L3
LUC7L3-222	LUC7L3
LUC7L3-203	LUC7L3
LUC7L3-223	LUC7L3
NEK8-204	AC010761.1
NEK8-203	AC010761.1
NEK8-201	AC010761.1
NEK8-202	AC010761.1
NEK8-207	AC010761.1
SLC7A7-201	SLC7A7
SLC7A7-215	SLC7A7
SLC7A7-204	SLC7A7
SLC7A7-218	SLC7A7
SLC7A7-203	SLC7A7
SLC7A7-202	SLC7A7
SLC7A7-210	SLC7A7
SLC7A7-219	SLC7A7
SLC7A7-212	SLC7A7
SLC7A7-205	SLC7A7
SLC7A7-213	SLC7A7
SLC7A7-221	SLC7A7
SLC7A7-216	SLC7A7
SLC7A7-220	SLC7A7
SLC7A7-211	SLC7A7
SLC7A7-217	SLC7A7
LTA-205	LTA
LTA-206	LTA
CDH17-205	CDH17
CDH17-204	CDH17
CDH17-201	CDH17
CDH17-202	CDH17
CDH17-203	CDH17
DBH-202	DBH
DBH-201	DBH
PALM-201	PALM
PALM-202	PALM
PALM-203	PALM
PALM-208	PALM
PALM-207	PALM
SPATA31D3-201	SPATA31D3
MAGEA10-202	MAGEA10
MAGEA10-204	MAGEA10
MAGEA10-203	MAGEA10
MAGEA10-206	MAGEA10
MAGEA10-205	MAGEA10
MAGEA10-201	MAGEA10
NFKBIL1-228	NFKBIL1
NFKBIL1-227	NFKBIL1
NFKBIL1-226	NFKBIL1
SLITRK5-201	SLITRK5
C10orf82-201	C10orf82
C10orf82-203	C10orf82
NOMO1-201	NOMO1
NOMO1-202	NOMO1
NOMO1-207	NOMO1
NOMO1-208	NOMO1
IRF1-201	IRF1
IRF1-202	IRF1
IRF1-203	IRF1
IRF1-205	IRF1
IRF1-204	IRF1
IRF1-209	IRF1
IRF1-211	IRF1
CD300LF-202	CD300LF
CD300LF-207	CD300LF
CD300LF-201	CD300LF
CD300LF-210	CD300LF
CD300LF-206	CD300LF
CD300LF-205	CD300LF
CD300LF-208	CD300LF
CD300LF-203	CD300LF
CD300LF-204	CD300LF
CTSZ-201	CTSZ
TMEM167A-201	TMEM167A
INSM2-201	INSM2
TMPRSS12-202	TMPRSS12
TMPRSS12-201	TMPRSS12
SMO-201	SMO
SMO-202	SMO
SMO-203	SMO
PAPD5-202	TENT4B
PAPD5-203	TENT4B
PAPD5-201	TENT4B
KRTAP9-1-201	KRTAP9-1
KRTAP9-1-202	KRTAP9-1
KRTAP9-1-204	KRTAP9-1
KRTAP9-1-203	KRTAP9-1
DDX10-201	DDX10
DDX10-203	DDX10
ABHD14A-206	ABHD14A
ABHD14A-205	ABHD14A
ABHD14A-201	ABHD14A
ABHD14A-204	ABHD14A
ABHD14A-202	ABHD14A
CD300LD-201	CD300LD
KRTAP1-3-201	KRTAP1-3
KRTAP3-1-201	KRTAP3-1
RGL2-201	RGL2
RGL2-202	RGL2
ST3GAL1-214	ST3GAL1
ST3GAL1-211	ST3GAL1
ST3GAL1-207	ST3GAL1
ST3GAL1-213	ST3GAL1
ST3GAL1-201	ST3GAL1
ST3GAL1-215	ST3GAL1
ST3GAL1-205	ST3GAL1
ST3GAL1-202	ST3GAL1
DENND4A-203	DENND4A
DENND4A-202	DENND4A
DENND4A-209	DENND4A
DENND4A-206	DENND4A
DENND4A-201	DENND4A
SLITRK1-201	SLITRK1
OR51A7-201	OR51A7
NXPE1-205	NXPE1
NXPE1-206	NXPE1
NXPE1-203	NXPE1
NXPE1-202	NXPE1
NXPE1-201	NXPE1
DEFB105B-201	DEFB105B
SNX27-202	SNX27
SNX27-204	SNX27
SNX27-203	SNX27
SNX27-201	SNX27
NELFCD-213	NELFCD
NELFCD-201	NELFCD
SP7-202	AC073611.1
SP7-201	AC073611.1
SP7-203	AC073611.1
SP7-204	AC073611.1
MRPS18C-201	MRPS18C
MRPS18C-204	MRPS18C
MRPS18C-205	MRPS18C
MRPS18C-207	MRPS18C
MRPS18C-203	MRPS18C
LARP1B-201	LARP1B
LARP1B-210	LARP1B
LARP1B-209	LARP1B
LARP1B-202	LARP1B
LARP1B-203	LARP1B
LARP1B-207	LARP1B
LARP1B-206	LARP1B
CYP2S1-201	CYP2S1
CYP2S1-205	CYP2S1
CYP2S1-202	CYP2S1
CYP2S1-206	CYP2S1
CYP2S1-204	CYP2S1
CYP2S1-203	CYP2S1
ABCA6-201	ABCA6
ABCA6-206	ABCA6
IRF7-220	IRF7
IRF7-231	IRF7
IRF7-219	IRF7
IRF7-228	IRF7
IRF7-232	IRF7
IRF7-225	IRF7
IRF7-222	IRF7
IRF7-217	IRF7
IRF7-218	IRF7
AP2A1-201	AP2A1
AP2A1-202	AP2A1
AP2A1-205	AP2A1
LMTK2-201	LMTK2
ATP6V1G1-201	ATP6V1G1
SBNO1-202	SBNO1
SBNO1-203	SBNO1
SBNO1-201	SBNO1
IER3-203	IER3
IER3-204	IER3
MAPK8IP3-216	MAPK8IP3
MAPK8IP3-212	MAPK8IP3
MAPK8IP3-202	MAPK8IP3
MAPK8IP3-201	MAPK8IP3
TMEM216-203	TMEM216
TMEM216-202	TMEM216
TMEM216-201	TMEM216
MCRIP2-201	MCRIP2
MCRIP2-203	MCRIP2
MCRIP2-202	MCRIP2
MCRIP2-211	MCRIP2
CSNK1D-224	CSNK1D
CSNK1D-204	CSNK1D
CSNK1D-202	CSNK1D
CSNK1D-203	CSNK1D
CSNK1D-215	CSNK1D
CSNK1D-201	CSNK1D
CSNK1D-205	CSNK1D
CSNK1D-213	CSNK1D
CSNK1D-219	CSNK1D
CSNK1D-226	CSNK1D
G0S2-201	G0S2
LILRB1-247	LILRB1
LILRB1-248	LILRB1
LILRB1-246	LILRB1
LILRB1-242	LILRB1
LILRB1-245	LILRB1
LILRB1-241	LILRB1
ARSB-201	ARSB
ARSB-202	ARSB
ARSB-206	ARSB
ARSB-204	ARSB
FBXO24-203	FBXO24
FBXO24-201	FBXO24
FBXO24-208	FBXO24
FBXO24-204	FBXO24
FBXO24-205	FBXO24
FBXO24-206	FBXO24
FBXO24-202	FBXO24
BTBD9-201	BTBD9
BTBD9-206	BTBD9
BTBD9-205	BTBD9
BTBD9-202	BTBD9
BTBD9-207	BTBD9
BTBD9-208	BTBD9
BTBD9-203	BTBD9
BTBD9-204	BTBD9
LYPLAL1-202	LYPLAL1
LYPLAL1-201	LYPLAL1
DDX5-203	DDX5
DDX5-218	DDX5
DDX5-201	DDX5
DDX5-202	DDX5
DDX5-210	DDX5
DDX5-213	DDX5
DDX5-204	DDX5
DDX5-207	DDX5
DDX5-205	DDX5
DDX5-219	DDX5
DDX5-220	DDX5
DDX5-206	DDX5
DDX5-224	DDX5
DDX5-211	DDX5
DDX5-231	DDX5
DDX5-228	DDX5
DDX5-223	DDX5
DDX5-232	DDX5
DDX5-235	DDX5
ZBTB9-205	ZBTB9
PTPN22-203	PTPN22
PTPN22-201	PTPN22
PTPN22-207	PTPN22
PTPN22-209	PTPN22
PTPN22-202	PTPN22
PTPN22-206	PTPN22
PTPN22-208	PTPN22
PTPN22-211	PTPN22
FBXO17-201	FBXO17
FBXO17-202	FBXO17
FBXO17-203	FBXO17
FBXO17-206	FBXO17
FBXO17-207	FBXO17
XK-201	XK
C11orf24-201	C11orf24
C11orf24-209	C11orf24
C11orf24-202	C11orf24
GOLGA6A-201	GOLGA6A
SLC35F2-204	SLC35F2
SLC35F2-203	SLC35F2
SLC35F2-206	SLC35F2
SLC35F2-201	SLC35F2
SLC35F2-205	SLC35F2
SLC35F2-202	SLC35F2
SPATA17-202	SPATA17
SPATA17-201	SPATA17
MUSTN1-202	MUSTN1
MUSTN1-201	MUSTN1
CAMKK1-203	CAMKK1
CAMKK1-202	CAMKK1
CAMKK1-201	CAMKK1
CCDC43-204	CCDC43
CCDC43-202	CCDC43
CCDC43-201	CCDC43
CCDC43-203	CCDC43
HSD17B4-201	HSD17B4
HSD17B4-222	HSD17B4
HSD17B4-203	HSD17B4
HSD17B4-215	HSD17B4
HSD17B4-206	HSD17B4
HSD17B4-202	HSD17B4
HSD17B4-220	HSD17B4
HSD17B4-212	HSD17B4
DUSP2-201	DUSP2
FAM222A-202	FAM222A
FAM222A-201	FAM222A
MYO16-201	MYO16
MYO16-202	MYO16
MYO16-205	MYO16
NUDT14-202	NUDT14
NUDT14-203	NUDT14
LHX2-204	LHX2
LHX2-201	LHX2
LHX2-202	LHX2
LHX2-203	LHX2
MED9-201	MED9
MED9-202	MED9
MED9-203	MED9
PHF20L1-207	PHF20L1
PHF20L1-209	PHF20L1
PHF20L1-214	PHF20L1
PHF20L1-203	PHF20L1
PHF20L1-206	PHF20L1
PHF20L1-219	PHF20L1
PHF20L1-210	PHF20L1
PHF20L1-215	PHF20L1
PHF20L1-217	PHF20L1
PHF20L1-211	PHF20L1
PHF20L1-220	PHF20L1
PHF20L1-201	PHF20L1
SERPINF2-204	SERPINF2
SERPINF2-203	SERPINF2
SERPINF2-205	SERPINF2
SERPINF2-202	SERPINF2
SERPINF2-201	SERPINF2
RAB44-202	RAB44
RPEL1-201	RPEL1
RNF39-215	RNF39
RNF39-216	RNF39
ZKSCAN7-205	ZKSCAN7
ZKSCAN7-206	ZKSCAN7
ZKSCAN7-202	ZKSCAN7
ZKSCAN7-201	ZKSCAN7
ZKSCAN7-203	ZKSCAN7
ZKSCAN7-207	ZKSCAN7
ZKSCAN7-204	ZKSCAN7
CFAP20-201	CFAP20
CFAP20-205	CFAP20
RTP4-201	RTP4
TLCD2-201	TLCD2
ISG20L2-201	ISG20L2
ISG20L2-202	ISG20L2
KIFC1-203	KIFC1
KIFC1-204	KIFC1
GGT2-202	GGT2
GGT2-201	GGT2
RASSF2-202	RASSF2
RASSF2-201	RASSF2
RGS10-201	RGS10
RGS10-202	RGS10
RGS10-203	RGS10
OR11A1-223	OR11A1
OR11A1-224	OR11A1
OR11A1-225	OR11A1
C11orf74-201	C11orf74
C11orf74-208	C11orf74
C11orf74-202	C11orf74
C11orf74-210	C11orf74
C11orf74-207	C11orf74
C11orf74-205	C11orf74
C11orf74-206	C11orf74
C11orf74-209	C11orf74
C11orf74-211	C11orf74
C11orf74-203	C11orf74
SEMA6B-201	SEMA6B
SEMA6B-202	SEMA6B
ITIH1-201	ITIH1
ITIH1-205	ITIH1
ITIH1-203	ITIH1
ITIH1-207	ITIH1
ITIH1-202	ITIH1
ITIH1-211	ITIH1
ARHGAP11A-207	ARHGAP11A
ARHGAP11A-201	ARHGAP11A
ARHGAP11A-208	ARHGAP11A
ARHGAP11A-205	ARHGAP11A
ARHGAP11A-202	ARHGAP11A
ARHGAP11A-203	ARHGAP11A
VSIG8-201	VSIG8
THEG-204	THEG
THEG-202	THEG
THEG-201	THEG
SYNE2-202	SYNE2
SYNE2-201	SYNE2
SYNE2-212	SYNE2
SYNE2-216	SYNE2
SYNE2-210	SYNE2
SYNE2-220	SYNE2
SYNE2-208	SYNE2
SYNE2-218	SYNE2
SYNE2-211	SYNE2
SYNE2-226	SYNE2
SYNE2-207	SYNE2
SYNE2-228	SYNE2
SYNE2-204	SYNE2
SYNE2-203	SYNE2
ZNF362-203	ZNF362
ZNF362-205	ZNF362
ZNF362-201	ZNF362
MAP3K10-201	MAP3K10
MAP3K10-206	MAP3K10
MAP3K10-202	MAP3K10
MAP3K10-207	MAP3K10
ARG2-201	ARG2
GRM5-201	GRM5
GRM5-202	GRM5
GRM5-204	GRM5
GRM5-203	GRM5
GRM5-205	GRM5
MIER2-201	MIER2
MIER2-205	MIER2
MIER2-207	MIER2
FAM47B-201	FAM47B
PTPRT-203	PTPRT
PTPRT-201	PTPRT
PTPRT-202	PTPRT
PTPRT-204	PTPRT
PTPRT-206	PTPRT
PTPRT-207	PTPRT
PTPRT-205	PTPRT
PTPRT-210	PTPRT
PTPRT-212	PTPRT
PTPRT-211	PTPRT
PTPRT-209	PTPRT
EYA3-203	EYA3
EYA3-202	EYA3
EYA3-201	EYA3
EYA3-204	EYA3
EYA3-208	EYA3
SPAG17-201	SPAG17
SPAG17-202	SPAG17
GLYATL3-201	GLYATL3
GLYATL3-202	GLYATL3
OR5I1-201	OR5I1
SPDYE2B-203	SPDYE2B
SPDYE2B-202	SPDYE2B
SPDYE2B-201	SPDYE2B
LIMA1-212	LIMA1
LIMA1-203	LIMA1
LIMA1-215	LIMA1
LIMA1-202	LIMA1
LIMA1-201	LIMA1
LIMA1-214	LIMA1
